Default Dataset,,Dataset 1,,Dataset 2,,BOSS,
X,Y,X,Y,X,Y,X,Y
0.012989154043569245,4233862298109798400,0.09870015304111027,5383050152612606000,0.0005334950927201328,30560797265617790,0.00016433678087359667,30075480441066372
0.012989154043569245,3533311861280809500,0.08659565206385011,5090455946437612000,0.0005197159926868178,34157482897052410,0.00017091543996131618,35051959273036140
0.012989154043569245,3031883859600832000,0.0730512792802328,4681330237872445000,0.0005062927789593343,38712365805257990,0.00018009845741210622,41425217906176320
0.012989154043569245,2141143227255747800,0.06493640780872241,4365811367635996700,0.0004868052031610252,44488333234731640,0.00018977486393014886,48280819284503864
0.012989154043569245,1470596508693109200,0.05848316515837606,4015393271523108400,0.00047423200861317365,51127276880025340,0.0001999711685330934,56270977646091580
0.012989154043569245,1024198216799866900,0.05477974412378555,3797579446882147300,0.0004680677182711336,60416371849039630,0.00021071530452636546,63783587552596220
0.012989154043569245,647106533211196900,0.04869455865972979,3541624853672767000,0.00047423200861317365,71396484829686390,0.00022496085283213509,75382676072558700
0.012989154043569245,392138544599300160,0.042722700311765144,3257207803974946000,0.00047423200861317365,84370168018472380,0.0002370476452118622,89088993808646540
0.012989154043569245,240960554794906780,0.03651510952146272,2913283973298476000,0.00048047748053201917,98326012924796830,0.00025640629839496844,100987761505955950
0.012989154043569245,121858252254741220,0.032036928229249306,2642305665712026000,0.00048047748053201917,114587656990718140,0.0002773458888311265,112893974750989230
0.012989154043569245,72824249806878580,0.028107947198208378,2363418434313144300,0.0004868052031610252,137310169034646060,0.00029999552480976493,127972146841170220
0.012989154043569245,34834879723384400,0.024660812985683143,2113966891921245700,0.0004868052031610252,162261238207080220,0.00032027692178659197,145060791456706660
0.012989154043569245,30310114622989970,0.02107760699790202,1838866440661272800,0.00047423200861317365,199910074523795460,0.00034643254904826755,164435178636771000
0.0007776372183362181,30581282754381896,0.018736209647982272,1667863590416264200,0.00047423200861317365,220360321181695940,0.00037472419295964555,186397218033770200
